Industry,Year,Occupation,Employed_Residents
Accommodation & Food Services,2007,All Occupation Groups,123.10 
Accommodation & Food Services,2007,Associate Professionals & Technicians,3.40 
Accommodation & Food Services,2007,"Cleaners, Labourers & Related Workers",46.00 
Accommodation & Food Services,2007,Clerical Support Workers,5.70 
Accommodation & Food Services,2007,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2007,Managers & Administrators (Including Working Proprietors),10.00 
Accommodation & Food Services,2007,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2007,Plant & Machine Operators & Assemblers,2.90 
Accommodation & Food Services,2007,Professionals,1.10 
Accommodation & Food Services,2007,Service & Sales Workers,52.40 
Accommodation & Food Services,2008,All Occupation Groups,120.00 
Accommodation & Food Services,2008,Associate Professionals & Technicians,3.60 
Accommodation & Food Services,2008,"Cleaners, Labourers & Related Workers",45.60 
Accommodation & Food Services,2008,Clerical Support Workers,5.90 
Accommodation & Food Services,2008,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2008,Managers & Administrators (Including Working Proprietors),11.10 
Accommodation & Food Services,2008,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2008,Plant & Machine Operators & Assemblers,2.10 
Accommodation & Food Services,2008,Professionals,1.70 
Accommodation & Food Services,2008,Service & Sales Workers,48.30 
Accommodation & Food Services,2009,All Occupation Groups,124.90 
Accommodation & Food Services,2009,Associate Professionals & Technicians,4.30 
Accommodation & Food Services,2009,"Cleaners, Labourers & Related Workers",46.50 
Accommodation & Food Services,2009,Clerical Support Workers,6.20 
Accommodation & Food Services,2009,Craftsmen & Related Trades Workers,1.30 
Accommodation & Food Services,2009,Managers & Administrators (Including Working Proprietors),12.10 
Accommodation & Food Services,2009,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2009,Plant & Machine Operators & Assemblers,2.70 
Accommodation & Food Services,2009,Professionals,1.20 
Accommodation & Food Services,2009,Service & Sales Workers,50.60 
Accommodation & Food Services,2010,All Occupation Groups,128.90 
Accommodation & Food Services,2010,Associate Professionals & Technicians,9.20 
Accommodation & Food Services,2010,"Cleaners, Labourers & Related Workers",47.10 
Accommodation & Food Services,2010,Clerical Support Workers,6.20 
Accommodation & Food Services,2010,Craftsmen & Related Trades Workers,1.40 
Accommodation & Food Services,2010,Managers & Administrators (Including Working Proprietors),15.30 
Accommodation & Food Services,2010,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2010,Plant & Machine Operators & Assemblers,3.10 
Accommodation & Food Services,2010,Professionals,1.70 
Accommodation & Food Services,2010,Service & Sales Workers,45.00 
Accommodation & Food Services,2011,All Occupation Groups,135.20 
Accommodation & Food Services,2011,Associate Professionals & Technicians,11.30 
Accommodation & Food Services,2011,"Cleaners, Labourers & Related Workers",47.90 
Accommodation & Food Services,2011,Clerical Support Workers,7.60 
Accommodation & Food Services,2011,Craftsmen & Related Trades Workers,1.10 
Accommodation & Food Services,2011,Managers & Administrators (Including Working Proprietors),15.00 
Accommodation & Food Services,2011,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2011,Plant & Machine Operators & Assemblers,2.50 
Accommodation & Food Services,2011,Professionals,2.00 
Accommodation & Food Services,2011,Service & Sales Workers,48.00 
Accommodation & Food Services,2012,All Occupation Groups,129.30 
Accommodation & Food Services,2012,Associate Professionals & Technicians,10.30 
Accommodation & Food Services,2012,"Cleaners, Labourers & Related Workers",43.30 
Accommodation & Food Services,2012,Clerical Support Workers,7.00 
Accommodation & Food Services,2012,Craftsmen & Related Trades Workers,1.30 
Accommodation & Food Services,2012,Managers & Administrators (Including Working Proprietors),13.70 
Accommodation & Food Services,2012,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2012,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2012,Professionals,1.80 
Accommodation & Food Services,2012,Service & Sales Workers,49.60 
Accommodation & Food Services,2013,All Occupation Groups,135.10 
Accommodation & Food Services,2013,Associate Professionals & Technicians,9.70 
Accommodation & Food Services,2013,"Cleaners, Labourers & Related Workers",49.60 
Accommodation & Food Services,2013,Clerical Support Workers,8.10 
Accommodation & Food Services,2013,Craftsmen & Related Trades Workers,1.50 
Accommodation & Food Services,2013,Managers & Administrators (Including Working Proprietors),12.30 
Accommodation & Food Services,2013,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2013,Plant & Machine Operators & Assemblers,2.80 
Accommodation & Food Services,2013,Professionals,1.70 
Accommodation & Food Services,2013,Service & Sales Workers,49.30 
Accommodation & Food Services,2014,All Occupation Groups,137.10 
Accommodation & Food Services,2014,Associate Professionals & Technicians,13.00 
Accommodation & Food Services,2014,"Cleaners, Labourers & Related Workers",50.00 
Accommodation & Food Services,2014,Clerical Support Workers,8.30 
Accommodation & Food Services,2014,Craftsmen & Related Trades Workers,2.40 
Accommodation & Food Services,2014,Managers & Administrators (Including Working Proprietors),9.80 
Accommodation & Food Services,2014,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2014,Plant & Machine Operators & Assemblers,1.90 
Accommodation & Food Services,2014,Professionals,1.80 
Accommodation & Food Services,2014,Service & Sales Workers,50.00 
Accommodation & Food Services,2015,All Occupation Groups,139.10 
Accommodation & Food Services,2015,Associate Professionals & Technicians,10.80 
Accommodation & Food Services,2015,"Cleaners, Labourers & Related Workers",46.50 
Accommodation & Food Services,2015,Clerical Support Workers,7.30 
Accommodation & Food Services,2015,Craftsmen & Related Trades Workers,2.00 
Accommodation & Food Services,2015,Managers & Administrators (Including Working Proprietors),11.70 
Accommodation & Food Services,2015,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2015,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2015,Professionals,1.70 
Accommodation & Food Services,2015,Service & Sales Workers,56.90 
Accommodation & Food Services,2016,All Occupation Groups,138.20 
Accommodation & Food Services,2016,Associate Professionals & Technicians,10.40 
Accommodation & Food Services,2016,"Cleaners, Labourers & Related Workers",44.00 
Accommodation & Food Services,2016,Clerical Support Workers,6.90 
Accommodation & Food Services,2016,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2016,Managers & Administrators (Including Working Proprietors),11.60 
Accommodation & Food Services,2016,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2016,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2016,Professionals,1.60 
Accommodation & Food Services,2016,Service & Sales Workers,59.60 
Accommodation & Food Services,2017,All Occupation Groups,134.40 
Accommodation & Food Services,2017,Associate Professionals & Technicians,9.70 
Accommodation & Food Services,2017,"Cleaners, Labourers & Related Workers",40.30 
Accommodation & Food Services,2017,Clerical Support Workers,7.90 
Accommodation & Food Services,2017,Craftsmen & Related Trades Workers,2.10 
Accommodation & Food Services,2017,Managers & Administrators (Including Working Proprietors),12.70 
Accommodation & Food Services,2017,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2017,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2017,Professionals,1.90 
Accommodation & Food Services,2017,Service & Sales Workers,57.20 
Accommodation & Food Services,2018,All Occupation Groups,134.40 
Accommodation & Food Services,2018,Associate Professionals & Technicians,13.60 
Accommodation & Food Services,2018,"Cleaners, Labourers & Related Workers",38.60 
Accommodation & Food Services,2018,Clerical Support Workers,9.00 
Accommodation & Food Services,2018,Craftsmen & Related Trades Workers,2.20 
Accommodation & Food Services,2018,Managers & Administrators (Including Working Proprietors),10.30 
Accommodation & Food Services,2018,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2018,Plant & Machine Operators & Assemblers,2.50 
Accommodation & Food Services,2018,Professionals,1.70 
Accommodation & Food Services,2018,Service & Sales Workers,56.50 
Accommodation & Food Services,2019,All Occupation Groups,131.80 
Accommodation & Food Services,2019,Associate Professionals & Technicians,10.50 
Accommodation & Food Services,2019,"Cleaners, Labourers & Related Workers",41.50 
Accommodation & Food Services,2019,Clerical Support Workers,7.40 
Accommodation & Food Services,2019,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2019,Managers & Administrators (Including Working Proprietors),11.50 
Accommodation & Food Services,2019,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2019,Plant & Machine Operators & Assemblers,2.00 
Accommodation & Food Services,2019,Professionals,1.80 
Accommodation & Food Services,2019,Service & Sales Workers,55.40 
Accommodation & Food Services,2020,All Occupation Groups,128.90 
Accommodation & Food Services,2020,Associate Professionals & Technicians,13.30 
Accommodation & Food Services,2020,"Cleaners, Labourers & Related Workers",33.90 
Accommodation & Food Services,2020,Clerical Support Workers,9.40 
Accommodation & Food Services,2020,Craftsmen & Related Trades Workers,1.00 
Accommodation & Food Services,2020,Managers & Administrators (Including Working Proprietors),9.20 
Accommodation & Food Services,2020,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2020,Plant & Machine Operators & Assemblers,1.80 
Accommodation & Food Services,2020,Professionals,2.80 
Accommodation & Food Services,2020,Service & Sales Workers,57.30 
Accommodation & Food Services,2021,All Occupation Groups,125.20 
Accommodation & Food Services,2021,Associate Professionals & Technicians,11.70 
Accommodation & Food Services,2021,"Cleaners, Labourers & Related Workers",31.40 
Accommodation & Food Services,2021,Clerical Support Workers,8.40 
Accommodation & Food Services,2021,Craftsmen & Related Trades Workers,1.20 
Accommodation & Food Services,2021,Managers & Administrators (Including Working Proprietors),10.00 
Accommodation & Food Services,2021,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2021,Plant & Machine Operators & Assemblers,2.20 
Accommodation & Food Services,2021,Professionals,2.50 
Accommodation & Food Services,2021,Service & Sales Workers,57.80 
Accommodation & Food Services,2022,All Occupation Groups,126.60 
Accommodation & Food Services,2022,Associate Professionals & Technicians,13.40 
Accommodation & Food Services,2022,"Cleaners, Labourers & Related Workers",31.60 
Accommodation & Food Services,2022,Clerical Support Workers,7.60 
Accommodation & Food Services,2022,Craftsmen & Related Trades Workers,1.10 
Accommodation & Food Services,2022,Managers & Administrators (Including Working Proprietors),9.80 
Accommodation & Food Services,2022,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2022,Plant & Machine Operators & Assemblers,2.30 
Accommodation & Food Services,2022,Professionals,2.90 
Accommodation & Food Services,2022,Service & Sales Workers,58.00 
Accommodation & Food Services,2023,All Occupation Groups,139.50 
Accommodation & Food Services,2023,Associate Professionals & Technicians,15.40 
Accommodation & Food Services,2023,"Cleaners, Labourers & Related Workers",33.40 
Accommodation & Food Services,2023,Clerical Support Workers,9.00 
Accommodation & Food Services,2023,Craftsmen & Related Trades Workers,1.50 
Accommodation & Food Services,2023,Managers & Administrators (Including Working Proprietors),9.70 
Accommodation & Food Services,2023,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2023,Plant & Machine Operators & Assemblers,2.30 
Accommodation & Food Services,2023,Professionals,3.40 
Accommodation & Food Services,2023,Service & Sales Workers,64.90 
Accommodation & Food Services,2024,All Occupation Groups,147.50 
Accommodation & Food Services,2024,Associate Professionals & Technicians,15.50 
Accommodation & Food Services,2024,"Cleaners, Labourers & Related Workers",39.40 
Accommodation & Food Services,2024,Clerical Support Workers,9.20 
Accommodation & Food Services,2024,Craftsmen & Related Trades Workers,1.20 
Accommodation & Food Services,2024,Managers & Administrators (Including Working Proprietors),12.40 
Accommodation & Food Services,2024,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2024,Plant & Machine Operators & Assemblers,2.10 
Accommodation & Food Services,2024,Professionals,3.80 
Accommodation & Food Services,2024,Service & Sales Workers,63.80 
Financial & Insurance Services,2007,All Occupation Groups,109.70 
Financial & Insurance Services,2007,Associate Professionals & Technicians,27.40 
Financial & Insurance Services,2007,"Cleaners, Labourers & Related Workers",0.50 
Financial & Insurance Services,2007,Clerical Support Workers,24.50 
Financial & Insurance Services,2007,Craftsmen & Related Trades Workers,0.10 
Financial & Insurance Services,2007,Managers & Administrators (Including Working Proprietors),22.30 
Financial & Insurance Services,2007,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2007,Plant & Machine Operators & Assemblers,0.40 
Financial & Insurance Services,2007,Professionals,34.10 
Financial & Insurance Services,2007,Service & Sales Workers,0.50 
Financial & Insurance Services,2008,All Occupation Groups,123.60 
Financial & Insurance Services,2008,Associate Professionals & Technicians,32.20 
Financial & Insurance Services,2008,"Cleaners, Labourers & Related Workers",0.80 
Financial & Insurance Services,2008,Clerical Support Workers,24.50 
Financial & Insurance Services,2008,Craftsmen & Related Trades Workers,0.00 
Financial & Insurance Services,2008,Managers & Administrators (Including Working Proprietors),24.20 
Financial & Insurance Services,2008,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2008,Plant & Machine Operators & Assemblers,0.50 
Financial & Insurance Services,2008,Professionals,40.60 
Financial & Insurance Services,2008,Service & Sales Workers,0.70 
Financial & Insurance Services,2009,All Occupation Groups,121.90 
Financial & Insurance Services,2009,Associate Professionals & Technicians,35.10 
Financial & Insurance Services,2009,"Cleaners, Labourers & Related Workers",1.00 
Financial & Insurance Services,2009,Clerical Support Workers,22.60 
Financial & Insurance Services,2009,Craftsmen & Related Trades Workers,0.20 
Financial & Insurance Services,2009,Managers & Administrators (Including Working Proprietors),23.60 
Financial & Insurance Services,2009,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2009,Plant & Machine Operators & Assemblers,0.70 
Financial & Insurance Services,2009,Professionals,37.80 
Financial & Insurance Services,2009,Service & Sales Workers,0.80 
Financial & Insurance Services,2010,All Occupation Groups,126.00 
Financial & Insurance Services,2010,Associate Professionals & Technicians,23.30 
Financial & Insurance Services,2010,"Cleaners, Labourers & Related Workers",0.90 
Financial & Insurance Services,2010,Clerical Support Workers,26.80 
Financial & Insurance Services,2010,Craftsmen & Related Trades Workers,0.10 
Financial & Insurance Services,2010,Managers & Administrators (Including Working Proprietors),32.50 
Financial & Insurance Services,2010,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2010,Plant & Machine Operators & Assemblers,0.70 
Financial & Insurance Services,2010,Professionals,40.80 
Financial & Insurance Services,2010,Service & Sales Workers,0.80 
Financial & Insurance Services,2011,All Occupation Groups,145.50 
Financial & Insurance Services,2011,Associate Professionals & Technicians,31.00 
Financial & Insurance Services,2011,"Cleaners, Labourers & Related Workers",0.60 
Financial & Insurance Services,2011,Clerical Support Workers,26.20 
Financial & Insurance Services,2011,Craftsmen & Related Trades Workers,0.10 
Financial & Insurance Services,2011,Managers & Administrators (Including Working Proprietors),42.70 
Financial & Insurance Services,2011,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2011,Plant & Machine Operators & Assemblers,0.80 
Financial & Insurance Services,2011,Professionals,42.70 
Financial & Insurance Services,2011,Service & Sales Workers,1.20 
Financial & Insurance Services,2012,All Occupation Groups,150.60 
Financial & Insurance Services,2012,Associate Professionals & Technicians,29.60 
Financial & Insurance Services,2012,"Cleaners, Labourers & Related Workers",0.90 
Financial & Insurance Services,2012,Clerical Support Workers,30.70 
Financial & Insurance Services,2012,Craftsmen & Related Trades Workers,0.40 
Financial & Insurance Services,2012,Managers & Administrators (Including Working Proprietors),40.40 
Financial & Insurance Services,2012,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2012,Plant & Machine Operators & Assemblers,0.60 
Financial & Insurance Services,2012,Professionals,46.20 
Financial & Insurance Services,2012,Service & Sales Workers,1.80 
Financial & Insurance Services,2013,All Occupation Groups,147.80 
Financial & Insurance Services,2013,Associate Professionals & Technicians,30.00 
Financial & Insurance Services,2013,"Cleaners, Labourers & Related Workers",0.80 
Financial & Insurance Services,2013,Clerical Support Workers,29.20 
Financial & Insurance Services,2013,Craftsmen & Related Trades Workers,0.40 
Financial & Insurance Services,2013,Managers & Administrators (Including Working Proprietors),42.00 
Financial & Insurance Services,2013,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2013,Plant & Machine Operators & Assemblers,1.00 
Financial & Insurance Services,2013,Professionals,43.40 
Financial & Insurance Services,2013,Service & Sales Workers,1.10 
Financial & Insurance Services,2014,All Occupation Groups,165.60 
Financial & Insurance Services,2014,Associate Professionals & Technicians,40.10 
Financial & Insurance Services,2014,"Cleaners, Labourers & Related Workers",1.60 
Financial & Insurance Services,2014,Clerical Support Workers,26.90 
Financial & Insurance Services,2014,Craftsmen & Related Trades Workers,0.60 
Financial & Insurance Services,2014,Managers & Administrators (Including Working Proprietors),44.50 
Financial & Insurance Services,2014,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2014,Plant & Machine Operators & Assemblers,1.20 
Financial & Insurance Services,2014,Professionals,48.90 
Financial & Insurance Services,2014,Service & Sales Workers,1.70 
Financial & Insurance Services,2015,All Occupation Groups,167.30 
Financial & Insurance Services,2015,Associate Professionals & Technicians,37.50 
Financial & Insurance Services,2015,"Cleaners, Labourers & Related Workers",1.80 
Financial & Insurance Services,2015,Clerical Support Workers,27.50 
Financial & Insurance Services,2015,Craftsmen & Related Trades Workers,0.90 
Financial & Insurance Services,2015,Managers & Administrators (Including Working Proprietors),40.20 
Financial & Insurance Services,2015,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2015,Plant & Machine Operators & Assemblers,2.10 
Financial & Insurance Services,2015,Professionals,55.00 
Financial & Insurance Services,2015,Service & Sales Workers,2.20 
Financial & Insurance Services,2016,All Occupation Groups,190.70 
Financial & Insurance Services,2016,Associate Professionals & Technicians,46.50 
Financial & Insurance Services,2016,"Cleaners, Labourers & Related Workers",3.50 
Financial & Insurance Services,2016,Clerical Support Workers,28.50 
Financial & Insurance Services,2016,Craftsmen & Related Trades Workers,1.50 
Financial & Insurance Services,2016,Managers & Administrators (Including Working Proprietors),41.80 
Financial & Insurance Services,2016,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2016,Plant & Machine Operators & Assemblers,2.60 
Financial & Insurance Services,2016,Professionals,62.80 
Financial & Insurance Services,2016,Service & Sales Workers,3.40 
Financial & Insurance Services,2017,All Occupation Groups,189.60 
Financial & Insurance Services,2017,Associate Professionals & Technicians,44.10 
Financial & Insurance Services,2017,"Cleaners, Labourers & Related Workers",3.00 
Financial & Insurance Services,2017,Clerical Support Workers,27.40 
Financial & Insurance Services,2017,Craftsmen & Related Trades Workers,1.20 
Financial & Insurance Services,2017,Managers & Administrators (Including Working Proprietors),39.60 
Financial & Insurance Services,2017,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2017,Plant & Machine Operators & Assemblers,2.10 
Financial & Insurance Services,2017,Professionals,69.20 
Financial & Insurance Services,2017,Service & Sales Workers,2.90 
Financial & Insurance Services,2018,All Occupation Groups,196.00 
Financial & Insurance Services,2018,Associate Professionals & Technicians,46.10 
Financial & Insurance Services,2018,"Cleaners, Labourers & Related Workers",3.20 
Financial & Insurance Services,2018,Clerical Support Workers,28.50 
Financial & Insurance Services,2018,Craftsmen & Related Trades Workers,1.20 
Financial & Insurance Services,2018,Managers & Administrators (Including Working Proprietors),44.30 
Financial & Insurance Services,2018,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2018,Plant & Machine Operators & Assemblers,2.60 
Financial & Insurance Services,2018,Professionals,64.80 
Financial & Insurance Services,2018,Service & Sales Workers,5.30 
Financial & Insurance Services,2019,All Occupation Groups,209.40 
Financial & Insurance Services,2019,Associate Professionals & Technicians,46.30 
Financial & Insurance Services,2019,"Cleaners, Labourers & Related Workers",2.40 
Financial & Insurance Services,2019,Clerical Support Workers,28.90 
Financial & Insurance Services,2019,Craftsmen & Related Trades Workers,1.70 
Financial & Insurance Services,2019,Managers & Administrators (Including Working Proprietors),49.60 
Financial & Insurance Services,2019,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2019,Plant & Machine Operators & Assemblers,3.70 
Financial & Insurance Services,2019,Professionals,71.60 
Financial & Insurance Services,2019,Service & Sales Workers,5.00 
Financial & Insurance Services,2020,All Occupation Groups,207.90 
Financial & Insurance Services,2020,Associate Professionals & Technicians,47.10 
Financial & Insurance Services,2020,"Cleaners, Labourers & Related Workers",3.40 
Financial & Insurance Services,2020,Clerical Support Workers,23.00 
Financial & Insurance Services,2020,Craftsmen & Related Trades Workers,1.40 
Financial & Insurance Services,2020,Managers & Administrators (Including Working Proprietors),54.10 
Financial & Insurance Services,2020,Other Occupation Groups Nes,0.00 
Financial & Insurance Services,2020,Plant & Machine Operators & Assemblers,2.60 
Financial & Insurance Services,2020,Professionals,70.80 
Financial & Insurance Services,2020,Service & Sales Workers,5.60 
Financial & Insurance Services,2021,All Occupation Groups,225.20 
Financial & Insurance Services,2021,Associate Professionals & Technicians,49.60 
Financial & Insurance Services,2021,"Cleaners, Labourers & Related Workers",2.60 
Financial & Insurance Services,2021,Clerical Support Workers,24.50 
Financial & Insurance Services,2021,Craftsmen & Related Trades Workers,0.90 
Financial & Insurance Services,2021,Managers & Administrators (Including Working Proprietors),47.80 
Financial & Insurance Services,2021,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2021,Plant & Machine Operators & Assemblers,2.60 
Financial & Insurance Services,2021,Professionals,92.80 
Financial & Insurance Services,2021,Service & Sales Workers,4.40 
Financial & Insurance Services,2022,All Occupation Groups,235.80 
Financial & Insurance Services,2022,Associate Professionals & Technicians,51.30 
Financial & Insurance Services,2022,"Cleaners, Labourers & Related Workers",3.30 
Financial & Insurance Services,2022,Clerical Support Workers,23.30 
Financial & Insurance Services,2022,Craftsmen & Related Trades Workers,1.30 
Financial & Insurance Services,2022,Managers & Administrators (Including Working Proprietors),57.80 
Financial & Insurance Services,2022,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2022,Plant & Machine Operators & Assemblers,2.00 
Financial & Insurance Services,2022,Professionals,91.80 
Financial & Insurance Services,2022,Service & Sales Workers,5.00 
Financial & Insurance Services,2023,All Occupation Groups,236.20 
Financial & Insurance Services,2023,Associate Professionals & Technicians,47.00 
Financial & Insurance Services,2023,"Cleaners, Labourers & Related Workers",4.30 
Financial & Insurance Services,2023,Clerical Support Workers,22.00 
Financial & Insurance Services,2023,Craftsmen & Related Trades Workers,1.00 
Financial & Insurance Services,2023,Managers & Administrators (Including Working Proprietors),60.40 
Financial & Insurance Services,2023,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2023,Plant & Machine Operators & Assemblers,1.70 
Financial & Insurance Services,2023,Professionals,94.60 
Financial & Insurance Services,2023,Service & Sales Workers,5.20 
Financial & Insurance Services,2024,All Occupation Groups,239.40 
Financial & Insurance Services,2024,Associate Professionals & Technicians,44.80 
Financial & Insurance Services,2024,"Cleaners, Labourers & Related Workers",3.80 
Financial & Insurance Services,2024,Clerical Support Workers,23.00 
Financial & Insurance Services,2024,Craftsmen & Related Trades Workers,1.10 
Financial & Insurance Services,2024,Managers & Administrators (Including Working Proprietors),61.90 
Financial & Insurance Services,2024,Other Occupation Groups Nes,0.10 
Financial & Insurance Services,2024,Plant & Machine Operators & Assemblers,1.80 
Financial & Insurance Services,2024,Professionals,99.70 
Financial & Insurance Services,2024,Service & Sales Workers,3.30 
Information & Communications,2007,All Occupation Groups,87.80 
Information & Communications,2007,Associate Professionals & Technicians,12.40 
Information & Communications,2007,"Cleaners, Labourers & Related Workers",0.60 
Information & Communications,2007,Clerical Support Workers,10.00 
Information & Communications,2007,Craftsmen & Related Trades Workers,1.40 
Information & Communications,2007,Managers & Administrators (Including Working Proprietors),24.40 
Information & Communications,2007,Other Occupation Groups Nes,0.00 
Information & Communications,2007,Plant & Machine Operators & Assemblers,0.60 
Information & Communications,2007,Professionals,37.30 
Information & Communications,2007,Service & Sales Workers,1.20 
Information & Communications,2008,All Occupation Groups,87.00 
Information & Communications,2008,Associate Professionals & Technicians,14.30 
Information & Communications,2008,"Cleaners, Labourers & Related Workers",0.80 
Information & Communications,2008,Clerical Support Workers,9.20 
Information & Communications,2008,Craftsmen & Related Trades Workers,1.00 
Information & Communications,2008,Managers & Administrators (Including Working Proprietors),24.60 
Information & Communications,2008,Other Occupation Groups Nes,0.00 
Information & Communications,2008,Plant & Machine Operators & Assemblers,0.60 
Information & Communications,2008,Professionals,35.30 
Information & Communications,2008,Service & Sales Workers,1.40 
Information & Communications,2009,All Occupation Groups,94.30 
Information & Communications,2009,Associate Professionals & Technicians,13.30 
Information & Communications,2009,"Cleaners, Labourers & Related Workers",0.70 
Information & Communications,2009,Clerical Support Workers,10.50 
Information & Communications,2009,Craftsmen & Related Trades Workers,1.20 
Information & Communications,2009,Managers & Administrators (Including Working Proprietors),26.40 
Information & Communications,2009,Other Occupation Groups Nes,0.00 
Information & Communications,2009,Plant & Machine Operators & Assemblers,0.60 
Information & Communications,2009,Professionals,40.60 
Information & Communications,2009,Service & Sales Workers,1.10 
Information & Communications,2010,All Occupation Groups,100.50 
Information & Communications,2010,Associate Professionals & Technicians,13.90 
Information & Communications,2010,"Cleaners, Labourers & Related Workers",1.00 
Information & Communications,2010,Clerical Support Workers,10.60 
Information & Communications,2010,Craftsmen & Related Trades Workers,1.40 
Information & Communications,2010,Managers & Administrators (Including Working Proprietors),32.90 
Information & Communications,2010,Other Occupation Groups Nes,0.00 
Information & Communications,2010,Plant & Machine Operators & Assemblers,1.00 
Information & Communications,2010,Professionals,37.90 
Information & Communications,2010,Service & Sales Workers,1.80 
Information & Communications,2011,All Occupation Groups,86.00 
Information & Communications,2011,Associate Professionals & Technicians,13.00 
Information & Communications,2011,"Cleaners, Labourers & Related Workers",0.60 
Information & Communications,2011,Clerical Support Workers,10.10 
Information & Communications,2011,Craftsmen & Related Trades Workers,1.10 
Information & Communications,2011,Managers & Administrators (Including Working Proprietors),30.30 
Information & Communications,2011,Other Occupation Groups Nes,0.00 
Information & Communications,2011,Plant & Machine Operators & Assemblers,0.30 
Information & Communications,2011,Professionals,29.50 
Information & Communications,2011,Service & Sales Workers,1.10 
Information & Communications,2012,All Occupation Groups,86.50 
Information & Communications,2012,Associate Professionals & Technicians,12.60 
