Industry,Year,Occupation,Employed_Residents
Information & Communications,2012,"Cleaners, Labourers & Related Workers",0.90 
Information & Communications,2012,Clerical Support Workers,9.00 
Information & Communications,2012,Craftsmen & Related Trades Workers,0.80 
Information & Communications,2012,Managers & Administrators (Including Working Proprietors),28.90 
Information & Communications,2012,Other Occupation Groups Nes,0.00 
Information & Communications,2012,Plant & Machine Operators & Assemblers,0.80 
Information & Communications,2012,Professionals,31.20 
Information & Communications,2012,Service & Sales Workers,2.30 
Information & Communications,2013,All Occupation Groups,92.30 
Information & Communications,2013,Associate Professionals & Technicians,15.90 
Information & Communications,2013,"Cleaners, Labourers & Related Workers",1.10 
Information & Communications,2013,Clerical Support Workers,9.80 
Information & Communications,2013,Craftsmen & Related Trades Workers,1.20 
Information & Communications,2013,Managers & Administrators (Including Working Proprietors),30.90 
Information & Communications,2013,Other Occupation Groups Nes,0.00 
Information & Communications,2013,Plant & Machine Operators & Assemblers,0.50 
Information & Communications,2013,Professionals,31.00 
Information & Communications,2013,Service & Sales Workers,2.00 
Information & Communications,2014,All Occupation Groups,88.40 
Information & Communications,2014,Associate Professionals & Technicians,16.70 
Information & Communications,2014,"Cleaners, Labourers & Related Workers",1.20 
Information & Communications,2014,Clerical Support Workers,10.60 
Information & Communications,2014,Craftsmen & Related Trades Workers,1.50 
Information & Communications,2014,Managers & Administrators (Including Working Proprietors),23.80 
Information & Communications,2014,Other Occupation Groups Nes,0.20 
Information & Communications,2014,Plant & Machine Operators & Assemblers,0.90 
Information & Communications,2014,Professionals,32.00 
Information & Communications,2014,Service & Sales Workers,1.50 
Information & Communications,2015,All Occupation Groups,86.10 
Information & Communications,2015,Associate Professionals & Technicians,17.60 
Information & Communications,2015,"Cleaners, Labourers & Related Workers",1.10 
Information & Communications,2015,Clerical Support Workers,9.70 
Information & Communications,2015,Craftsmen & Related Trades Workers,1.10 
Information & Communications,2015,Managers & Administrators (Including Working Proprietors),24.60 
Information & Communications,2015,Other Occupation Groups Nes,0.00 
Information & Communications,2015,Plant & Machine Operators & Assemblers,0.40 
Information & Communications,2015,Professionals,29.30 
Information & Communications,2015,Service & Sales Workers,2.10 
Information & Communications,2016,All Occupation Groups,87.00 
Information & Communications,2016,Associate Professionals & Technicians,18.80 
Information & Communications,2016,"Cleaners, Labourers & Related Workers",1.00 
Information & Communications,2016,Clerical Support Workers,10.20 
Information & Communications,2016,Craftsmen & Related Trades Workers,1.10 
Information & Communications,2016,Managers & Administrators (Including Working Proprietors),22.20 
Information & Communications,2016,Other Occupation Groups Nes,0.00 
Information & Communications,2016,Plant & Machine Operators & Assemblers,1.40 
Information & Communications,2016,Professionals,30.50 
Information & Communications,2016,Service & Sales Workers,1.90 
Information & Communications,2017,All Occupation Groups,91.30 
Information & Communications,2017,Associate Professionals & Technicians,20.60 
Information & Communications,2017,"Cleaners, Labourers & Related Workers",0.80 
Information & Communications,2017,Clerical Support Workers,8.30 
Information & Communications,2017,Craftsmen & Related Trades Workers,1.10 
Information & Communications,2017,Managers & Administrators (Including Working Proprietors),24.80 
Information & Communications,2017,Other Occupation Groups Nes,0.00 
Information & Communications,2017,Plant & Machine Operators & Assemblers,0.60 
Information & Communications,2017,Professionals,33.30 
Information & Communications,2017,Service & Sales Workers,1.80 
Information & Communications,2018,All Occupation Groups,94.10 
Information & Communications,2018,Associate Professionals & Technicians,19.70 
Information & Communications,2018,"Cleaners, Labourers & Related Workers",0.80 
Information & Communications,2018,Clerical Support Workers,9.50 
Information & Communications,2018,Craftsmen & Related Trades Workers,0.60 
Information & Communications,2018,Managers & Administrators (Including Working Proprietors),24.70 
Information & Communications,2018,Other Occupation Groups Nes,0.10 
Information & Communications,2018,Plant & Machine Operators & Assemblers,0.60 
Information & Communications,2018,Professionals,36.40 
Information & Communications,2018,Service & Sales Workers,1.60 
Information & Communications,2019,All Occupation Groups,102.60 
Information & Communications,2019,Associate Professionals & Technicians,21.40 
Information & Communications,2019,"Cleaners, Labourers & Related Workers",1.10 
Information & Communications,2019,Clerical Support Workers,9.00 
Information & Communications,2019,Craftsmen & Related Trades Workers,1.00 
Information & Communications,2019,Managers & Administrators (Including Working Proprietors),28.10 
Information & Communications,2019,Other Occupation Groups Nes,0.00 
Information & Communications,2019,Plant & Machine Operators & Assemblers,0.70 
Information & Communications,2019,Professionals,39.20 
Information & Communications,2019,Service & Sales Workers,2.10 
Information & Communications,2020,All Occupation Groups,111.40 
Information & Communications,2020,Associate Professionals & Technicians,23.00 
Information & Communications,2020,"Cleaners, Labourers & Related Workers",1.30 
Information & Communications,2020,Clerical Support Workers,8.20 
Information & Communications,2020,Craftsmen & Related Trades Workers,0.70 
Information & Communications,2020,Managers & Administrators (Including Working Proprietors),32.50 
Information & Communications,2020,Other Occupation Groups Nes,0.10 
Information & Communications,2020,Plant & Machine Operators & Assemblers,1.10 
Information & Communications,2020,Professionals,42.90 
Information & Communications,2020,Service & Sales Workers,1.60 
Information & Communications,2021,All Occupation Groups,120.40 
Information & Communications,2021,Associate Professionals & Technicians,23.00 
Information & Communications,2021,"Cleaners, Labourers & Related Workers",1.60 
Information & Communications,2021,Clerical Support Workers,8.70 
Information & Communications,2021,Craftsmen & Related Trades Workers,1.00 
Information & Communications,2021,Managers & Administrators (Including Working Proprietors),30.10 
Information & Communications,2021,Other Occupation Groups Nes,0.10 
Information & Communications,2021,Plant & Machine Operators & Assemblers,1.00 
Information & Communications,2021,Professionals,52.70 
Information & Communications,2021,Service & Sales Workers,2.20 
Information & Communications,2022,All Occupation Groups,132.80 
Information & Communications,2022,Associate Professionals & Technicians,23.80 
Information & Communications,2022,"Cleaners, Labourers & Related Workers",2.00 
Information & Communications,2022,Clerical Support Workers,9.40 
Information & Communications,2022,Craftsmen & Related Trades Workers,1.00 
Information & Communications,2022,Managers & Administrators (Including Working Proprietors),33.80 
Information & Communications,2022,Other Occupation Groups Nes,0.00 
Information & Communications,2022,Plant & Machine Operators & Assemblers,1.30 
Information & Communications,2022,Professionals,59.30 
Information & Communications,2022,Service & Sales Workers,2.20 
Information & Communications,2023,All Occupation Groups,136.00 
Information & Communications,2023,Associate Professionals & Technicians,23.60 
Information & Communications,2023,"Cleaners, Labourers & Related Workers",2.30 
Information & Communications,2023,Clerical Support Workers,7.00 
Information & Communications,2023,Craftsmen & Related Trades Workers,0.80 
Information & Communications,2023,Managers & Administrators (Including Working Proprietors),32.90 
Information & Communications,2023,Other Occupation Groups Nes,0.00 
Information & Communications,2023,Plant & Machine Operators & Assemblers,1.60 
Information & Communications,2023,Professionals,65.70 
Information & Communications,2023,Service & Sales Workers,1.90 
Information & Communications,2024,All Occupation Groups,139.10 
Information & Communications,2024,Associate Professionals & Technicians,22.80 
Information & Communications,2024,"Cleaners, Labourers & Related Workers",2.40 
Information & Communications,2024,Clerical Support Workers,7.60 
Information & Communications,2024,Craftsmen & Related Trades Workers,1.10 
Information & Communications,2024,Managers & Administrators (Including Working Proprietors),36.90 
Information & Communications,2024,Other Occupation Groups Nes,0.00 
Information & Communications,2024,Plant & Machine Operators & Assemblers,1.90 
Information & Communications,2024,Professionals,65.20 
Information & Communications,2024,Service & Sales Workers,1.40 
Professional And Administrative & Support,2007,All Occupation Groups,185.40 
Professional And Administrative & Support,2007,Associate Professionals & Technicians,25.70 
Professional And Administrative & Support,2007,"Cleaners, Labourers & Related Workers",27.60 
Professional And Administrative & Support,2007,Clerical Support Workers,30.00 
Professional And Administrative & Support,2007,Craftsmen & Related Trades Workers,3.90 
Professional And Administrative & Support,2007,Managers & Administrators (Including Working Proprietors),29.10 
Professional And Administrative & Support,2007,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2007,Plant & Machine Operators & Assemblers,4.10 
Professional And Administrative & Support,2007,Professionals,41.10 
Professional And Administrative & Support,2007,Service & Sales Workers,23.90 
Professional And Administrative & Support,2008,All Occupation Groups,196.80 
Professional And Administrative & Support,2008,Associate Professionals & Technicians,28.40 
Professional And Administrative & Support,2008,"Cleaners, Labourers & Related Workers",27.00 
Professional And Administrative & Support,2008,Clerical Support Workers,31.20 
Professional And Administrative & Support,2008,Craftsmen & Related Trades Workers,3.30 
Professional And Administrative & Support,2008,Managers & Administrators (Including Working Proprietors),33.00 
Professional And Administrative & Support,2008,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2008,Plant & Machine Operators & Assemblers,3.70 
Professional And Administrative & Support,2008,Professionals,47.60 
Professional And Administrative & Support,2008,Service & Sales Workers,22.70 
Professional And Administrative & Support,2009,All Occupation Groups,198.30 
Professional And Administrative & Support,2009,Associate Professionals & Technicians,27.90 
Professional And Administrative & Support,2009,"Cleaners, Labourers & Related Workers",26.90 
Professional And Administrative & Support,2009,Clerical Support Workers,29.60 
Professional And Administrative & Support,2009,Craftsmen & Related Trades Workers,3.40 
Professional And Administrative & Support,2009,Managers & Administrators (Including Working Proprietors),33.90 
Professional And Administrative & Support,2009,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2009,Plant & Machine Operators & Assemblers,3.80 
Professional And Administrative & Support,2009,Professionals,50.50 
Professional And Administrative & Support,2009,Service & Sales Workers,22.30 
Professional And Administrative & Support,2010,All Occupation Groups,212.60 
Professional And Administrative & Support,2010,Associate Professionals & Technicians,29.80 
Professional And Administrative & Support,2010,"Cleaners, Labourers & Related Workers",32.80 
Professional And Administrative & Support,2010,Clerical Support Workers,32.30 
Professional And Administrative & Support,2010,Craftsmen & Related Trades Workers,6.30 
Professional And Administrative & Support,2010,Managers & Administrators (Including Working Proprietors),31.80 
Professional And Administrative & Support,2010,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2010,Plant & Machine Operators & Assemblers,5.20 
Professional And Administrative & Support,2010,Professionals,51.80 
Professional And Administrative & Support,2010,Service & Sales Workers,22.80 
Professional And Administrative & Support,2011,All Occupation Groups,222.20 
Professional And Administrative & Support,2011,Associate Professionals & Technicians,33.00 
Professional And Administrative & Support,2011,"Cleaners, Labourers & Related Workers",34.10 
Professional And Administrative & Support,2011,Clerical Support Workers,32.90 
Professional And Administrative & Support,2011,Craftsmen & Related Trades Workers,5.20 
Professional And Administrative & Support,2011,Managers & Administrators (Including Working Proprietors),41.00 
Professional And Administrative & Support,2011,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2011,Plant & Machine Operators & Assemblers,4.40 
Professional And Administrative & Support,2011,Professionals,49.00 
Professional And Administrative & Support,2011,Service & Sales Workers,22.70 
Professional And Administrative & Support,2012,All Occupation Groups,237.10 
Professional And Administrative & Support,2012,Associate Professionals & Technicians,37.20 
Professional And Administrative & Support,2012,"Cleaners, Labourers & Related Workers",35.00 
Professional And Administrative & Support,2012,Clerical Support Workers,34.10 
Professional And Administrative & Support,2012,Craftsmen & Related Trades Workers,7.00 
Professional And Administrative & Support,2012,Managers & Administrators (Including Working Proprietors),38.80 
Professional And Administrative & Support,2012,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2012,Plant & Machine Operators & Assemblers,5.80 
Professional And Administrative & Support,2012,Professionals,56.60 
Professional And Administrative & Support,2012,Service & Sales Workers,22.80 
Professional And Administrative & Support,2013,All Occupation Groups,242.10 
Professional And Administrative & Support,2013,Associate Professionals & Technicians,40.50 
Professional And Administrative & Support,2013,"Cleaners, Labourers & Related Workers",31.80 
Professional And Administrative & Support,2013,Clerical Support Workers,36.60 
Professional And Administrative & Support,2013,Craftsmen & Related Trades Workers,5.90 
Professional And Administrative & Support,2013,Managers & Administrators (Including Working Proprietors),42.30 
Professional And Administrative & Support,2013,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2013,Plant & Machine Operators & Assemblers,5.30 
Professional And Administrative & Support,2013,Professionals,55.70 
Professional And Administrative & Support,2013,Service & Sales Workers,23.90 
Professional And Administrative & Support,2014,All Occupation Groups,255.00 
Professional And Administrative & Support,2014,Associate Professionals & Technicians,44.20 
Professional And Administrative & Support,2014,"Cleaners, Labourers & Related Workers",33.60 
Professional And Administrative & Support,2014,Clerical Support Workers,33.90 
Professional And Administrative & Support,2014,Craftsmen & Related Trades Workers,6.60 
Professional And Administrative & Support,2014,Managers & Administrators (Including Working Proprietors),45.30 
Professional And Administrative & Support,2014,Other Occupation Groups Nes,0.00 
Professional And Administrative & Support,2014,Plant & Machine Operators & Assemblers,4.70 
Professional And Administrative & Support,2014,Professionals,60.80 
Professional And Administrative & Support,2014,Service & Sales Workers,25.90 
Professional And Administrative & Support,2015,All Occupation Groups,275.50 
Professional And Administrative & Support,2015,Associate Professionals & Technicians,49.90 
Professional And Administrative & Support,2015,"Cleaners, Labourers & Related Workers",33.50 
Professional And Administrative & Support,2015,Clerical Support Workers,37.50 
Professional And Administrative & Support,2015,Craftsmen & Related Trades Workers,5.40 
Professional And Administrative & Support,2015,Managers & Administrators (Including Working Proprietors),45.40 
Professional And Administrative & Support,2015,Other Occupation Groups Nes,1.10 
Professional And Administrative & Support,2015,Plant & Machine Operators & Assemblers,6.40 
Professional And Administrative & Support,2015,Professionals,67.50 
Professional And Administrative & Support,2015,Service & Sales Workers,28.80 
Professional And Administrative & Support,2016,All Occupation Groups,278.90 
Professional And Administrative & Support,2016,Associate Professionals & Technicians,55.50 
Professional And Administrative & Support,2016,"Cleaners, Labourers & Related Workers",37.00 
Professional And Administrative & Support,2016,Clerical Support Workers,31.60 
Professional And Administrative & Support,2016,Craftsmen & Related Trades Workers,6.80 
Professional And Administrative & Support,2016,Managers & Administrators (Including Working Proprietors),44.00 
Professional And Administrative & Support,2016,Other Occupation Groups Nes,0.90 
Professional And Administrative & Support,2016,Plant & Machine Operators & Assemblers,7.50 
Professional And Administrative & Support,2016,Professionals,65.40 
Professional And Administrative & Support,2016,Service & Sales Workers,30.00 
Professional And Administrative & Support,2017,All Occupation Groups,285.50 
Professional And Administrative & Support,2017,Associate Professionals & Technicians,51.30 
Professional And Administrative & Support,2017,"Cleaners, Labourers & Related Workers",42.10 
Professional And Administrative & Support,2017,Clerical Support Workers,34.90 
Professional And Administrative & Support,2017,Craftsmen & Related Trades Workers,5.30 
Professional And Administrative & Support,2017,Managers & Administrators (Including Working Proprietors),46.10 
Professional And Administrative & Support,2017,Other Occupation Groups Nes,1.10 
Professional And Administrative & Support,2017,Plant & Machine Operators & Assemblers,6.10 
Professional And Administrative & Support,2017,Professionals,70.00 
Professional And Administrative & Support,2017,Service & Sales Workers,28.50 
Professional And Administrative & Support,2018,All Occupation Groups,292.30 
Professional And Administrative & Support,2018,Associate Professionals & Technicians,56.30 
Professional And Administrative & Support,2018,"Cleaners, Labourers & Related Workers",40.40 
Professional And Administrative & Support,2018,Clerical Support Workers,32.80 
Professional And Administrative & Support,2018,Craftsmen & Related Trades Workers,5.90 
Professional And Administrative & Support,2018,Managers & Administrators (Including Working Proprietors),45.20 
Professional And Administrative & Support,2018,Other Occupation Groups Nes,1.60 
Professional And Administrative & Support,2018,Plant & Machine Operators & Assemblers,6.20 
Professional And Administrative & Support,2018,Professionals,71.00 
Professional And Administrative & Support,2018,Service & Sales Workers,32.80 
Professional And Administrative & Support,2019,All Occupation Groups,301.50 
Professional And Administrative & Support,2019,Associate Professionals & Technicians,62.60 
Professional And Administrative & Support,2019,"Cleaners, Labourers & Related Workers",37.00 
Professional And Administrative & Support,2019,Clerical Support Workers,33.70 
Professional And Administrative & Support,2019,Craftsmen & Related Trades Workers,6.50 
Professional And Administrative & Support,2019,Managers & Administrators (Including Working Proprietors),48.60 
Professional And Administrative & Support,2019,Other Occupation Groups Nes,1.20 
Professional And Administrative & Support,2019,Plant & Machine Operators & Assemblers,4.70 
Professional And Administrative & Support,2019,Professionals,73.60 
Professional And Administrative & Support,2019,Service & Sales Workers,33.70 
Professional And Administrative & Support,2020,All Occupation Groups,309.70 
Professional And Administrative & Support,2020,Associate Professionals & Technicians,59.00 
Professional And Administrative & Support,2020,"Cleaners, Labourers & Related Workers",41.00 
Professional And Administrative & Support,2020,Clerical Support Workers,30.10 
Professional And Administrative & Support,2020,Craftsmen & Related Trades Workers,5.90 
Professional And Administrative & Support,2020,Managers & Administrators (Including Working Proprietors),55.50 
Professional And Administrative & Support,2020,Other Occupation Groups Nes,1.70 
Professional And Administrative & Support,2020,Plant & Machine Operators & Assemblers,5.30 
Professional And Administrative & Support,2020,Professionals,79.50 
Professional And Administrative & Support,2020,Service & Sales Workers,31.80 
Professional And Administrative & Support,2021,All Occupation Groups,316.50 
Professional And Administrative & Support,2021,Associate Professionals & Technicians,56.90 
Professional And Administrative & Support,2021,"Cleaners, Labourers & Related Workers",41.20 
Professional And Administrative & Support,2021,Clerical Support Workers,30.40 
Professional And Administrative & Support,2021,Craftsmen & Related Trades Workers,5.40 
Professional And Administrative & Support,2021,Managers & Administrators (Including Working Proprietors),55.40 
Professional And Administrative & Support,2021,Other Occupation Groups Nes,1.70 
Professional And Administrative & Support,2021,Plant & Machine Operators & Assemblers,4.20 
Professional And Administrative & Support,2021,Professionals,90.90 
Professional And Administrative & Support,2021,Service & Sales Workers,30.40 
Professional And Administrative & Support,2022,All Occupation Groups,317.90 
Professional And Administrative & Support,2022,Associate Professionals & Technicians,59.30 
Professional And Administrative & Support,2022,"Cleaners, Labourers & Related Workers",39.20 
Professional And Administrative & Support,2022,Clerical Support Workers,28.70 
Professional And Administrative & Support,2022,Craftsmen & Related Trades Workers,3.90 
Professional And Administrative & Support,2022,Managers & Administrators (Including Working Proprietors),55.40 
Professional And Administrative & Support,2022,Other Occupation Groups Nes,1.60 
Professional And Administrative & Support,2022,Plant & Machine Operators & Assemblers,5.00 
Professional And Administrative & Support,2022,Professionals,92.10 
Professional And Administrative & Support,2022,Service & Sales Workers,32.80 
Professional And Administrative & Support,2023,All Occupation Groups,325.00 
Professional And Administrative & Support,2023,Associate Professionals & Technicians,61.60 
Professional And Administrative & Support,2023,"Cleaners, Labourers & Related Workers",39.00 
Professional And Administrative & Support,2023,Clerical Support Workers,30.40 
Professional And Administrative & Support,2023,Craftsmen & Related Trades Workers,5.30 
Professional And Administrative & Support,2023,Managers & Administrators (Including Working Proprietors),50.50 
Professional And Administrative & Support,2023,Other Occupation Groups Nes,1.70 
Professional And Administrative & Support,2023,Plant & Machine Operators & Assemblers,4.60 
Professional And Administrative & Support,2023,Professionals,98.70 
Professional And Administrative & Support,2023,Service & Sales Workers,33.20 
Professional And Administrative & Support,2024,All Occupation Groups,321.10 
Professional And Administrative & Support,2024,Associate Professionals & Technicians,59.40 
Professional And Administrative & Support,2024,"Cleaners, Labourers & Related Workers",39.40 
Professional And Administrative & Support,2024,Clerical Support Workers,27.70 
Professional And Administrative & Support,2024,Craftsmen & Related Trades Workers,4.70 
Professional And Administrative & Support,2024,Managers & Administrators (Including Working Proprietors),56.00 
Professional And Administrative & Support,2024,Other Occupation Groups Nes,1.30 
Professional And Administrative & Support,2024,Plant & Machine Operators & Assemblers,5.40 
Professional And Administrative & Support,2024,Professionals,96.40 
Professional And Administrative & Support,2024,Service & Sales Workers,30.80 
Real Estate Services,2007,All Occupation Groups,38.50 
Real Estate Services,2007,Associate Professionals & Technicians,18.20 
Real Estate Services,2007,"Cleaners, Labourers & Related Workers",3.70 
Real Estate Services,2007,Clerical Support Workers,5.90 
Real Estate Services,2007,Craftsmen & Related Trades Workers,1.20 
Real Estate Services,2007,Managers & Administrators (Including Working Proprietors),5.80 
Real Estate Services,2007,Other Occupation Groups Nes,0.00 
Real Estate Services,2007,Plant & Machine Operators & Assemblers,0.30 
Real Estate Services,2007,Professionals,2.80 
Real Estate Services,2007,Service & Sales Workers,0.60 
Real Estate Services,2008,All Occupation Groups,40.80 
Real Estate Services,2008,Associate Professionals & Technicians,20.60 
Real Estate Services,2008,"Cleaners, Labourers & Related Workers",2.40 
Real Estate Services,2008,Clerical Support Workers,5.60 
Real Estate Services,2008,Craftsmen & Related Trades Workers,1.30 
Real Estate Services,2008,Managers & Administrators (Including Working Proprietors),6.40 
Real Estate Services,2008,Other Occupation Groups Nes,0.00 
Real Estate Services,2008,Plant & Machine Operators & Assemblers,0.20 
Real Estate Services,2008,Professionals,3.20 
Real Estate Services,2008,Service & Sales Workers,1.20 
Real Estate Services,2009,All Occupation Groups,45.00 
Real Estate Services,2009,Associate Professionals & Technicians,21.70 
Real Estate Services,2009,"Cleaners, Labourers & Related Workers",3.80 
Real Estate Services,2009,Clerical Support Workers,6.20 
Real Estate Services,2009,Craftsmen & Related Trades Workers,1.30 
Real Estate Services,2009,Managers & Administrators (Including Working Proprietors),7.50 
Real Estate Services,2009,Other Occupation Groups Nes,0.00 
Real Estate Services,2009,Plant & Machine Operators & Assemblers,0.20 
Real Estate Services,2009,Professionals,3.30 
Real Estate Services,2009,Service & Sales Workers,1.20 
Real Estate Services,2010,All Occupation Groups,40.20 
Real Estate Services,2010,Associate Professionals & Technicians,20.60 
Real Estate Services,2010,"Cleaners, Labourers & Related Workers",1.60 
Real Estate Services,2010,Clerical Support Workers,5.40 
Real Estate Services,2010,Craftsmen & Related Trades Workers,0.50 
Real Estate Services,2010,Managers & Administrators (Including Working Proprietors),8.10 
Real Estate Services,2010,Other Occupation Groups Nes,0.00 
Real Estate Services,2010,Plant & Machine Operators & Assemblers,0.20 
Real Estate Services,2010,Professionals,2.80 
Real Estate Services,2010,Service & Sales Workers,0.90 
Real Estate Services,2011,All Occupation Groups,48.90 
Real Estate Services,2011,Associate Professionals & Technicians,27.40 
Real Estate Services,2011,"Cleaners, Labourers & Related Workers",1.50 
Real Estate Services,2011,Clerical Support Workers,6.30 
Real Estate Services,2011,Craftsmen & Related Trades Workers,1.50 
Real Estate Services,2011,Managers & Administrators (Including Working Proprietors),8.30 
Real Estate Services,2011,Other Occupation Groups Nes,0.00 
Real Estate Services,2011,Plant & Machine Operators & Assemblers,0.30 
Real Estate Services,2011,Professionals,2.80 
Real Estate Services,2011,Service & Sales Workers,0.90 
Real Estate Services,2012,All Occupation Groups,52.00 
Real Estate Services,2012,Associate Professionals & Technicians,25.80 
Real Estate Services,2012,"Cleaners, Labourers & Related Workers",2.60 
Real Estate Services,2012,Clerical Support Workers,8.20 
Real Estate Services,2012,Craftsmen & Related Trades Workers,1.60 
Real Estate Services,2012,Managers & Administrators (Including Working Proprietors),8.60 
Real Estate Services,2012,Other Occupation Groups Nes,0.00 
Real Estate Services,2012,Plant & Machine Operators & Assemblers,0.30 
Real Estate Services,2012,Professionals,3.40 
Real Estate Services,2012,Service & Sales Workers,1.50 
Real Estate Services,2013,All Occupation Groups,49.30 
Real Estate Services,2013,Associate Professionals & Technicians,27.10 
Real Estate Services,2013,"Cleaners, Labourers & Related Workers",3.50 
Real Estate Services,2013,Clerical Support Workers,6.70 
Real Estate Services,2013,Craftsmen & Related Trades Workers,1.10 
Real Estate Services,2013,Managers & Administrators (Including Working Proprietors),6.70 
Real Estate Services,2013,Other Occupation Groups Nes,0.00 
Real Estate Services,2013,Plant & Machine Operators & Assemblers,0.30 
Real Estate Services,2013,Professionals,2.90 
Real Estate Services,2013,Service & Sales Workers,1.00 
Real Estate Services,2014,All Occupation Groups,55.60 
Real Estate Services,2014,Associate Professionals & Technicians,26.00 
Real Estate Services,2014,"Cleaners, Labourers & Related Workers",6.50 
Real Estate Services,2014,Clerical Support Workers,7.80 
Real Estate Services,2014,Craftsmen & Related Trades Workers,1.80 
Real Estate Services,2014,Managers & Administrators (Including Working Proprietors),8.00 
Real Estate Services,2014,Other Occupation Groups Nes,0.00 
Real Estate Services,2014,Plant & Machine Operators & Assemblers,0.50 
Real Estate Services,2014,Professionals,3.60 
Real Estate Services,2014,Service & Sales Workers,1.40 
Real Estate Services,2015,All Occupation Groups,55.40 
Real Estate Services,2015,Associate Professionals & Technicians,25.90 
Real Estate Services,2015,"Cleaners, Labourers & Related Workers",7.70 
Real Estate Services,2015,Clerical Support Workers,7.00 
Real Estate Services,2015,Craftsmen & Related Trades Workers,1.60 
Real Estate Services,2015,Managers & Administrators (Including Working Proprietors),7.00 
Real Estate Services,2015,Other Occupation Groups Nes,0.00 
Real Estate Services,2015,Plant & Machine Operators & Assemblers,0.80 
Real Estate Services,2015,Professionals,3.60 
Real Estate Services,2015,Service & Sales Workers,1.80 
Real Estate Services,2016,All Occupation Groups,53.50 
